|ＡＮＡＳ|はこの区間をここ３０年間で徐々にアップグレードさせている。	{"comment": "", "curid": 1225116, "id": 844600, "match_segment_pos": "UNK", "match_segment_surf": "ＡＮＡＳ", "query": "ＡＮＡ", "type": "OK"}
１９５４年に|京都?大学|生理?学|教室入室。	{"comment": "", "curid": 1576122, "id": 216741, "match_segment_pos": "名詞--名詞", "match_segment_surf": "京都--大学生", "query": "京都大学", "type": "NG_SEG"}
１９５８年|より|この年まで７年連続で失策数はリーグワースト。	{"comment": "", "curid": 815, "id": 226402, "match_segment_pos": "助詞", "match_segment_surf": "より", "query": "より", "type": "OK"}
１９６２年|より|明大専任教授。	{"comment": "", "curid": 3540551, "id": 238502, "match_segment_pos": "助詞", "match_segment_surf": "より", "query": "より", "type": "OK"}
１９６９年にはメンバーの|加橋|かつみ|の脱退を受け、岸部四郎を帰国させ、新メンバーとして加入させる。	{"comment": "", "curid": 157966, "id": 256748, "match_segment_pos": "助詞--名詞", "match_segment_surf": "か--つみ", "query": "かつ", "type": "NG_SEG"}
１９７０年|の|みちのく|国体の開催を受け、１９６８年に開場。	{"comment": "", "curid": 2036869, "id": 260626, "match_segment_pos": "助詞--名詞", "match_segment_surf": "の--みちのく", "query": "のみ", "type": "OK"}
１９７０年から１９７７年にかけ朝日新聞の日曜版に独自の|きりえ|を連載。	{"comment": "", "curid": 506252, "id": 259399, "match_segment_pos": "名詞", "match_segment_surf": "きりえ", "query": "きり", "type": "OK"}
１９７０年生まれまたは１９７１年生まれ|の|みずがめ|座。	{"comment": "", "curid": 1029871, "id": 263884, "match_segment_pos": "助詞--名詞", "match_segment_surf": "の--みずがめ", "query": "のみ", "type": "OK"}
１９７０年代に大阪で発見され、後に奈良|でも|採集された。	{"comment": "", "curid": 280097, "id": 262117, "match_segment_pos": "助詞", "match_segment_surf": "でも", "query": "でも", "type": "OK"}
１９７８年に新設された|にっかつ|撮影所の取締役になる。	{"comment": "", "curid": 2593665, "id": 287764, "match_segment_pos": "名詞", "match_segment_surf": "にっかつ", "query": "かつ", "type": "OK"}
１９８１年４月、ニュー|かつら|の就航により引退し、売却された。	{"comment": "", "curid": 3418740, "id": 299288, "match_segment_pos": "名詞", "match_segment_surf": "かつら", "query": "かつ", "type": "OK"}
１９８１年に、何度も病気の時期があり、メシアンが計画通りに終えられる|か|もう|一度疑問になってきた。	{"comment": "", "curid": 2416948, "id": 300481, "match_segment_pos": "助詞--副詞", "match_segment_surf": "か--もう", "query": "かも", "type": "OK"}
１９８９年はブルース・スミスが契約|で|もめ|、さらに薬物問題で出場停止処分も受けた。	{"comment": "", "curid": 333615, "id": 333475, "match_segment_pos": "助詞--動詞", "match_segment_surf": "で--もめ", "query": "でも", "type": "OK"}
１９９０年に猿|まわし|から|引退。	{"comment": "", "curid": 852605, "id": 337835, "match_segment_pos": "名詞--助詞", "match_segment_surf": "まわし--から", "query": "しか", "type": "OK"}
１９９１年、サウンズは１位で開幕したが、それは１０日間|しか|もた|なかった。	{"comment": "", "curid": 460865, "id": 343723, "match_segment_pos": "助詞--動詞", "match_segment_surf": "しか--もた", "query": "かも", "type": "OK"}
１９９１年６月には高雄司教に就き、|なおかつ|カトリック台湾地区司教団主席を多く担当した。	{"comment": "", "curid": 2083595, "id": 343165, "match_segment_pos": "副詞", "match_segment_surf": "なおかつ", "query": "かつ", "type": "OK"}
１９９１年にソ連が崩壊した後もアメリカは制裁を緩和せず、|それどころか|、１９９０年代中盤に逆に強化した。	{"comment": "", "curid": 3336312, "id": 345460, "match_segment_pos": "副詞", "match_segment_surf": "それどころか", "query": "どころ", "type": "OK"}
１９９４年の西部アメリカチャンピオンシップ優勝を|皮きり|に数々の競技ダンス大会で優勝。	{"comment": "", "curid": 2591855, "id": 362628, "match_segment_pos": "名詞", "match_segment_surf": "皮きり", "query": "きり", "type": "OK"}
１９９５年１２月に|ＡＮＡ|に引き渡したのを最後に、生産終了となった。	{"comment": "", "curid": 764319, "id": 363683, "match_segment_pos": "名詞", "match_segment_surf": "ＡＮＡ", "query": "ＡＮＡ", "type": "OK"}
１９９８年の映画版では、白いドレス姿が|あたかも|日本の幽霊の死に装束のように描写された。	{"comment": "", "curid": 925932, "id": 387637, "match_segment_pos": "副詞", "match_segment_surf": "あたかも", "query": "かも", "type": "OK"}
１９９９年、国際民間航空機関勧告に則り、|ＡＮＡ|とＪＡＬが全面禁煙を開始した。	{"comment": "", "curid": 700804, "id": 391510, "match_segment_pos": "名詞", "match_segment_surf": "ＡＮＡ", "query": "ＡＮＡ", "type": "OK"}
１９世紀後半には、地理学者らによって各種系統地理学が整備され、日本|など|世界各国に地理学が移入された。	{"comment": "", "curid": 12, "id": 398453, "match_segment_pos": "助詞", "match_segment_surf": "など", "query": "など", "type": "OK"}
１巻には、読み切り|あかい|なみだが収録。	{"comment": "", "curid": 669489, "id": 408359, "match_segment_pos": "形容詞", "match_segment_surf": "あかい", "query": "かい", "type": "OK"}
１年の多くは|単独|か|つがい|で見られるが、非繁殖期には時に２０羽以上の群れとして集まることもある。	{"comment": "", "curid": 1328779, "id": 408881, "match_segment_pos": "名詞", "match_segment_surf": "かつ", "query": "かつ", "type": "NG_SEG"}
２００４年１月、２００４年９月、２００５年８月と３度も|やらかして|いる。	{"comment": "", "curid": 633684, "id": 461277, "match_segment_pos": "助詞", "match_segment_surf": "やら", "query": "やら", "type": "NG_SEG"}
２００４年からは、テーマに合うような曲を１曲|のみ|かけるようになる。	{"comment": "", "curid": 112872, "id": 466000, "match_segment_pos": "助詞--動詞", "match_segment_surf": "の--みかける", "query": "のみ", "type": "NG_SEG"}
２００４年に加入したＦＣバルセロナでの、|危な|げ|ながら|もそのアグレッシブなプレーはソシオにも愛された。	{"comment": "", "curid": 383549, "id": 468299, "match_segment_pos": "形容詞--接尾辞", "match_segment_surf": "危なげな--がら", "query": "ながら", "type": "NG_SEG"}
２００６年現在においても８０３８６は少量|ながら|製造されている。	{"comment": "", "curid": 1320, "id": 502750, "match_segment_pos": "助詞", "match_segment_surf": "ながら", "query": "ながら", "type": "OK"}
２００７年、無所属の|まま|母国アンゴラのペトロ・アトレティコへ加入するが、ここでも１シーズンのみで退団。	{"comment": "", "curid": 1970732, "id": 513344, "match_segment_pos": "名詞", "match_segment_surf": "まま母", "query": "まま", "type": "NG_SEG"}
２０１０年１１月１８日、|浜松市?やらまいか?大使|に就任。	{"comment": "", "curid": 1017410, "id": 561615, "match_segment_pos": "助詞", "match_segment_surf": "やら", "query": "やら", "type": "NG_SEG"}
２０１１年と２０１２年の|はままつ?映画祭|はシネマイーラが唯一の会場となった。	{"comment": "", "curid": 3540465, "id": 596786, "match_segment_pos": "名詞--名詞", "match_segment_surf": "はま--まつ", "query": "まま", "type": "NG_SEG"}
２０１２年度には津久野駅を上回り、普通|のみ|停車する駅では杉本町駅に次いで利用者数が多い駅となった。	{"comment": "", "curid": 99565, "id": 621320, "match_segment_pos": "形容詞--接頭辞", "match_segment_surf": "普通の--み", "query": "のみ", "type": "NG_SEG"}
２０１３年１０月５日より、特急|かもめ|がＪＲ長崎駅に到着した際のＢＧＭとして同曲が流されている。	{"comment": "", "curid": 2134704, "id": 623105, "match_segment_pos": "名詞", "match_segment_surf": "かもめ", "query": "かも", "type": "OK"}
２０１３年の名古屋めし総選挙で準グランプリを受賞し、当時の名古屋市長である河村|たかし|から|表彰された。	{"comment": "", "curid": 2958984, "id": 637888, "match_segment_pos": "名詞--助詞", "match_segment_surf": "たかし--から", "query": "しか", "type": "OK"}
２０１３年時点でも、華やかな芸能界には、なじめ|ない|し|、なじまないと答えている。	{"comment": "", "curid": 84736, "id": 640389, "match_segment_pos": "接尾辞--助詞", "match_segment_surf": "ない--し", "query": "ないし", "type": "OK"}
２０１５年１０月現在、|道原|かつみ|・鴨下幸久・藤崎竜の作画により、一部が漫画化されている。	{"comment": "", "curid": 28174, "id": 660978, "match_segment_pos": "助詞--動詞", "match_segment_surf": "か--つみ", "query": "かつ", "type": "NG_SEG"}
２０１５年３月末に|京都?大学?院|教授を早期退職し、現在、京都大学名誉教授。	{"comment": "", "curid": 389108, "id": 665481, "match_segment_pos": "名詞--名詞", "match_segment_surf": "京都--大学院", "query": "京都大学", "type": "OK"}
２０１５年５月１日に道の駅|かつらぎ|西がかつらぎ西パーキングエリア上り線内にオープンした。	{"comment": "", "curid": 2867921, "id": 666909, "match_segment_pos": "名詞", "match_segment_surf": "かつらぎ", "query": "かつ", "type": "OK"}
２０１５年には、|スマホ|の電源ＯＦＦを偽装するマルウェアが発見された。	{"comment": "", "curid": 216551, "id": 672835, "match_segment_pos": "名詞", "match_segment_surf": "スマホ", "query": "スマホ", "type": "OK"}
２０世紀初頭にこの概念は世界的に受け入れられ、西洋では１９３０年代以降|そう|で|も|なくなった。	{"comment": "", "curid": 1105939, "id": 696756, "match_segment_pos": "接尾辞--助詞", "match_segment_surf": "そうで--も", "query": "でも", "type": "NG_SEG"}
２０日のコロラド・ロッキーズ戦ではメジャー初|本塁?打|かつ|プロ入り後初となるランニング本塁打を記録。	{"comment": "", "curid": 225894, "id": 698558, "match_segment_pos": "動詞", "match_segment_surf": "打かつ", "query": "かつ", "type": "NG_SEG"}
２３歳のときにはセル・|オートマトン|に関する論文を出版した。	{"comment": "", "curid": 555358, "id": 702827, "match_segment_pos": "名詞", "match_segment_surf": "オートマトン", "query": "トマト", "type": "OK"}
２人の因果の全てが判明した結末には、|大きな|どんでん返し|が仕掛けられている。	{"comment": "", "curid": 981300, "id": 712232, "match_segment_pos": "連体詞--名詞", "match_segment_surf": "大きな--どんでん返し", "query": "など", "type": "OK"}
３３歳|ながら|１７得点を記録し得点ランキング３位に入るなど活躍する。	{"comment": "", "curid": 2953, "id": 735102, "match_segment_pos": "助詞", "match_segment_surf": "ながら", "query": "ながら", "type": "OK"}
３５００年に|および|ユダヤ人は差別を被ってきた。	{"comment": "", "curid": 1877182, "id": 735452, "match_segment_pos": "動詞", "match_segment_surf": "および", "query": "および", "type": "OK"}
３５歳の会社員・森山茂は薄毛に悩んでおり、ある日とうとう|かつら|を買う決心をする。	{"comment": "", "curid": 1994351, "id": 735769, "match_segment_pos": "名詞", "match_segment_surf": "かつら", "query": "かつ", "type": "OK"}
３月中旬から４月にかけては|すっきり|しない天気が続く。	{"comment": "", "curid": 47526, "id": 752327, "match_segment_pos": "副詞", "match_segment_surf": "すっきり", "query": "きり", "type": "OK"}
３人組は足りない知恵を出し合って、いつのまに|やら|大活躍。	{"comment": "", "curid": 38493, "id": 740612, "match_segment_pos": "助詞", "match_segment_surf": "やら", "query": "やら", "type": "OK"}
３年Ｂ組金八先生第６シリーズで共演した森田|このみ|によれば２児の母親であるという。	{"comment": "", "curid": 414383, "id": 743078, "match_segment_pos": "名詞", "match_segment_surf": "このみ", "query": "のみ", "type": "OK"}
３年の時には全日本カデ|でも|優勝した。	{"comment": "", "curid": 3538920, "id": 743430, "match_segment_pos": "助詞", "match_segment_surf": "でも", "query": "でも", "type": "OK"}
４月１３日の仮会議の席上、友厚は次の|ような|あいさつ|を行っている。	{"comment": "", "curid": 41798, "id": 765628, "match_segment_pos": "助動詞--名詞", "match_segment_surf": "ような--あいさつ", "query": "なあ", "type": "OK"}
４財閥の中でかなりの異質ともいえる存在であり、所属する獣闘士もはぐれもの|ばかりである|。	{"comment": "", "curid": 3025531, "id": 773317, "match_segment_pos": "助詞", "match_segment_surf": "ばかり", "query": "ばかり", "type": "NG_SEG"}
５年の初めに落ちるシュートを修得したが、それで肩を|壊し|かけた|ため、シュートは封印した。	{"comment": "", "curid": 686104, "id": 780973, "match_segment_pos": "動詞--接尾辞", "match_segment_surf": "壊し--かけた", "query": "しか", "type": "OK"}
６月８日の日本ハム戦で守備中にフェンスに激突、右足首を|ねん挫|し３試合欠場した。	{"comment": "", "curid": 1715553, "id": 800499, "match_segment_pos": "名詞", "match_segment_surf": "ねん挫", "query": "ねん", "type": "OK"}
７１式ボフォースロケットランチャーをもたないことから、艦橋構造物は|たかつき|型|より前方に位置している。	{"comment": "", "curid": 328815, "id": 804869, "match_segment_pos": "名詞", "match_segment_surf": "かつき", "query": "かつ", "type": "NG_SEG"}
７月には|このまま|では法案可決は難しい情勢となった。	{"comment": "", "curid": 126415, "id": 814447, "match_segment_pos": "副詞", "match_segment_surf": "このまま", "query": "まま", "type": "OK"}
ＢＢＣの番組ではこの試合の画像が|しきりに|映し出された。	{"comment": "", "curid": 764141, "id": 849012, "match_segment_pos": "形容詞", "match_segment_surf": "しきりに", "query": "きり", "type": "OK"}
ＣＳ放送|など|で度々再放送もされている。	{"comment": "", "curid": 1234, "id": 857161, "match_segment_pos": "助詞", "match_segment_surf": "など", "query": "など", "type": "OK"}
ＥＵでは、|かつお節|にベンゾピレンが含まれるため、原則的に輸入できない。	{"comment": "", "curid": 519406, "id": 864193, "match_segment_pos": "名詞", "match_segment_surf": "かつお節", "query": "かつ", "type": "OK"}
Ｆ２０７の高級機でハモリメロディ搭載、|くっきり|と見やすいフォント。	{"comment": "", "curid": 93901, "id": 865400, "match_segment_pos": "副詞", "match_segment_surf": "くっきり", "query": "きり", "type": "OK"}
ＦＩＦＡバロンドールの前日は現地に|とんかつ|店がなかったため代わりにシュニッツェルを食べた。	{"comment": "", "curid": 249057, "id": 866862, "match_segment_pos": "名詞", "match_segment_surf": "とんかつ", "query": "かつ", "type": "OK"}
Ｉｖａｎｏｖの結果によれば関数が|滑らか?さ|あっ?て|も単峰の関数を最小化することは難しい。	{"comment": "", "curid": 2787388, "id": 877160, "match_segment_pos": "接尾辞--動詞", "match_segment_surf": "さ--あって", "query": "さあ", "type": "OK"}
ＮＰＯこどもの発達研究室|きりん|理事。	{"comment": "", "curid": 2356701, "id": 895875, "match_segment_pos": "名詞", "match_segment_surf": "きりん", "query": "きり", "type": "OK"}
ＴＩＳは岩石を採掘する必要|さえ|なく、油として回収することができる手法である。	{"comment": "", "curid": 459040, "id": 912875, "match_segment_pos": "助詞", "match_segment_surf": "さえ", "query": "さえ", "type": "OK"}
あさり・|かつお|は、かつて吉本興業に所属していたお笑いコンビ。	{"comment": "", "curid": 2095347, "id": 945488, "match_segment_pos": "名詞", "match_segment_surf": "かつお", "query": "かつ", "type": "OK"}
あなたが昔のことを語るときに、苦しい時代、悪い時代のことを忘れてくれない|かしら|。	{"comment": "", "curid": 3119030, "id": 946210, "match_segment_pos": "助詞", "match_segment_surf": "かしら", "query": "かしら", "type": "OK"}
あまり土を選ばず頑健であることから、北ヨーロッパやイギリスの雪の降る冬で|さえ|も生き延びることができる。	{"comment": "", "curid": 831662, "id": 947362, "match_segment_pos": "助詞", "match_segment_surf": "さえ", "query": "さえ", "type": "OK"}
あらゆる国民の権利、義務が明記され、|中でも|司法権、最高裁判所の独立の項目が極めて重要です。	{"comment": "", "curid": 2198828, "id": 947994, "match_segment_pos": "副詞", "match_segment_surf": "中でも", "query": "でも", "type": "OK"}
ある言語は特定分野のアプリケーション|だけ|でよく使われているということもある。	{"comment": "", "curid": 69, "id": 955548, "match_segment_pos": "助詞", "match_segment_surf": "だけ", "query": "だけ", "type": "OK"}
ある州では投票のための登録する場所を見付け難くし|さえ|した。	{"comment": "", "curid": 1299882, "id": 950940, "match_segment_pos": "助詞", "match_segment_surf": "さえ", "query": "さえ", "type": "OK"}
ある条件では周期的な振る舞いをするかもしれ|ない|し|、ある状態に落ち着くかもしれない。	{"comment": "", "curid": 299368, "id": 954533, "match_segment_pos": "接尾辞--助詞", "match_segment_surf": "ない--し", "query": "ないし", "type": "OK"}
ある日、３人の学徒兵が外出|がてら|に主人公の家で記念写真を撮る。	{"comment": "", "curid": 753777, "id": 951236, "match_segment_pos": "助詞", "match_segment_surf": "がてら", "query": "がてら", "type": "OK"}
ある日、田上から電話で戒能が血の|つながら|ない兄と結婚することとなった事を聞かされる。	{"comment": "", "curid": 3371549, "id": 952754, "match_segment_pos": "動詞", "match_segment_surf": "つながら", "query": "ながら", "type": "OK"}
ある晩、コニーとビルはパコに|けしかけ|られるまま、タンゴを踊る。	{"comment": "", "curid": 2938871, "id": 954369, "match_segment_pos": "動詞", "match_segment_surf": "けしかけ", "query": "しか", "type": "OK"}
あれが一番勉強になる|ねん|。	{"comment": "", "curid": 1311908, "id": 955867, "match_segment_pos": "助詞", "match_segment_surf": "ねん", "query": "ねん", "type": "OK"}
いい|けど|、辛くてきついという意味である。	{"comment": "", "curid": 2802813, "id": 956399, "match_segment_pos": "助詞", "match_segment_surf": "けど", "query": "けど", "type": "OK"}
いきなりクラスの人気者になるかもめと相手にされ|ない|しじみ|。	{"comment": "", "curid": 1157624, "id": 956849, "match_segment_pos": "接尾辞--名詞", "match_segment_surf": "ない--しじみ", "query": "ないし", "type": "OK"}
いくつかの場合では、描かれた体形が男性であるか|それとも|女性であるかは不確かである。	{"comment": "", "curid": 2929192, "id": 957673, "match_segment_pos": "助詞", "match_segment_surf": "それとも", "query": "それとも", "type": "OK"}
いささか遅れて到着してしまうものの、主人の登場には|どうやら|間に合う。	{"comment": "", "curid": 786207, "id": 958997, "match_segment_pos": "副詞", "match_segment_surf": "どうやら", "query": "やら", "type": "OK"}
いずれにしてもマキノ監督、宮川カメラマンはさらに若く、当時の日本映画の若さ|の|みなぎる|映画となっている。	{"comment": "", "curid": 798956, "id": 959552, "match_segment_pos": "助詞--動詞", "match_segment_surf": "の--みなぎる", "query": "のみ", "type": "OK"}
いずれの浦も南南東方向が開けており、季節風を|さえぎり|、湾内は波静か。	{"comment": "", "curid": 1318602, "id": 960985, "match_segment_pos": "動詞", "match_segment_surf": "さえぎり", "query": "さえ", "type": "OK"}
いずれの説|でも|、９１０年から９１４年までの間にトミスラヴが公となったことは共通している。	{"comment": "", "curid": 3548488, "id": 961154, "match_segment_pos": "助詞", "match_segment_surf": "でも", "query": "でも", "type": "OK"}
いずれも自らの意志を持ち、魔法騎士の意志の強さを認めた場合|のみ|に共に戦う。	{"comment": "", "curid": 3991, "id": 965036, "match_segment_pos": "助詞", "match_segment_surf": "のみ", "query": "のみ", "type": "OK"}
いずれも素早く走れるようにしっかりした歩脚を持ち、|しかも|歩脚の先端に三爪を有する。	{"comment": "", "curid": 2542156, "id": 964951, "match_segment_pos": "接続詞", "match_segment_surf": "しかも", "query": "しか", "type": "OK"}
いちご担当は真優で、はちみつ担当は|のみこ|である。	{"comment": "", "curid": 1386339, "id": 965696, "match_segment_pos": "助詞--名詞", "match_segment_surf": "の--みこ", "query": "のみ", "type": "NG_SEG"}
いまに８人の死人が出る|のじゃ|。	{"comment": "", "curid": 322435, "id": 967173, "match_segment_pos": "助動詞", "match_segment_surf": "のじゃ", "query": "じゃ", "type": "OK"}
いまは身貧に迫り、寺子屋の師匠をしながら|かつがつ|暮らしている。	{"comment": "", "curid": 528153, "id": 967222, "match_segment_pos": "副詞", "match_segment_surf": "かつがつ", "query": "かつ", "type": "OK"}
いろいろある|けど|、一緒にいたい。	{"comment": "", "curid": 1477544, "id": 967565, "match_segment_pos": "助詞", "match_segment_surf": "けど", "query": "けど", "type": "OK"}
いろいろ問題はあった|ようだ|けど|、よく文句がでなかったと思うぐらい、むちゃくちゃに扱ってますよね。	{"comment": "", "curid": 172088, "id": 967644, "match_segment_pos": "助動詞--助詞", "match_segment_surf": "ようだ--けど", "query": "だけ", "type": "OK"}
いわば、漢文を日本語に直訳し|ながら|読むものであった。	{"comment": "", "curid": 11, "id": 967885, "match_segment_pos": "助詞", "match_segment_surf": "ながら", "query": "ながら", "type": "OK"}
うにゅの助けで何とか魔法が使えるようになったものの、|このまま|ではレフスイートの地位が危ない。	{"comment": "", "curid": 1442578, "id": 970766, "match_segment_pos": "副詞", "match_segment_surf": "このまま", "query": "まま", "type": "OK"}
うりこひめと|あまのじゃく|は、日本の昔話の１つ。	{"comment": "", "curid": 215477, "id": 970925, "match_segment_pos": "名詞", "match_segment_surf": "あまのじゃく", "query": "じゃ", "type": "OK"}
おおさか東線開業に|先だって|設置された信号場。	{"comment": "", "curid": 1419695, "id": 971371, "match_segment_pos": "動詞", "match_segment_surf": "先だって", "query": "だって", "type": "OK"}
おかげでパイロットを引き出すことはおろか、内部の様子をうかがうことも|ままならない|。	{"comment": "", "curid": 3140356, "id": 971930, "match_segment_pos": "形容詞", "match_segment_surf": "ままならない", "query": "まま", "type": "OK"}
おっそろしく|汚ねえ|笠被ってやがる。	{"comment": "", "curid": 2434904, "id": 973210, "match_segment_pos": "形容詞", "match_segment_surf": "汚ねえ", "query": "ねえ", "type": "OK"}
おら糞ったれめが、．．．．．．ええ、ホンマ|むかつく|なあ。	{"comment": "", "curid": 1479359, "id": 975882, "match_segment_pos": "動詞", "match_segment_surf": "むかつく", "query": "かつ", "type": "OK"}
お金が大好きで勉強は嫌いな、天下無敵|わがまま|お嬢様。	{"comment": "", "curid": 2006276, "id": 978103, "match_segment_pos": "形容詞", "match_segment_surf": "わがまま", "query": "まま", "type": "OK"}
お清が|こさえ|て|くれた夜食の膳を熊五郎が持ち、手燭の明かりを番頭が持ってこわごわ移動する。	{"comment": "", "curid": 1385834, "id": 977203, "match_segment_pos": "動詞--接尾辞", "match_segment_surf": "こさ--えて", "query": "さえ", "type": "NG_SEG"}
お前、ええ勉強した|なあ|。	{"comment": "", "curid": 573671, "id": 976468, "match_segment_pos": "助詞", "match_segment_surf": "なあ", "query": "なあ", "type": "OK"}
お前には勉強があるじゃ|ねえ|か。	{"comment": "", "curid": 770804, "id": 976510, "match_segment_pos": "接尾辞", "match_segment_surf": "ねえ", "query": "ねえ", "type": "OK"}
お茶ばかりでなく鰻のお重|やら|を出してくれた。	{"comment": "", "curid": 1685484, "id": 977889, "match_segment_pos": "助詞", "match_segment_surf": "やら", "query": "やら", "type": "OK"}
かき氷の上に缶詰|の|みかん|が乗り、その上に缶詰みかんのシロップをかけたもので、一杯３５０円。	{"comment": "", "curid": 40090, "id": 978532, "match_segment_pos": "助詞--名詞", "match_segment_surf": "の--みかん", "query": "のみ", "type": "OK"}
かすかべ防衛隊の面々は何とか逃げ出すが、ひろしと|みさえ|は謎の集団に連れ去られてしまった。	{"comment": "", "curid": 1631980, "id": 979390, "match_segment_pos": "名詞", "match_segment_surf": "みさえ", "query": "さえ", "type": "OK"}
かわいいし、やっぱり好きです|ねえ|。	{"comment": "", "curid": 167785, "id": 993785, "match_segment_pos": "助詞", "match_segment_surf": "ねえ", "query": "ねえ", "type": "OK"}
が、然るべき金額を支払う|ならば|、教皇レオ１０世はそれを許可したのだった。	{"comment": "", "curid": 3547173, "id": 994771, "match_segment_pos": "助動詞", "match_segment_surf": "ならば", "query": "なら", "type": "OK"}
こうして、まるでお|ままごと|のような結婚生活が始まる。	{"comment": "", "curid": 1618520, "id": 1004317, "match_segment_pos": "名詞", "match_segment_surf": "ままごと", "query": "まま", "type": "OK"}
こうしてカラスは喉を潤し、|また|旅に出るのだった。	{"comment": "", "curid": 3137161, "id": 1005649, "match_segment_pos": "名詞", "match_segment_surf": "また旅", "query": "また", "type": "NG_SEG"}
こうなると経済は、|そこそこ|活況で株にも買いが入るので、実体経済以上に株価が高騰しはじめる。	{"comment": "", "curid": 1786164, "id": 1009028, "match_segment_pos": "副詞", "match_segment_surf": "そこそこ", "query": "こそ", "type": "OK"}
こう考えると、先延ばしとは、行動が終わっている|か|い|ないかではなく、それ自体の振る舞いである。	{"comment": "", "curid": 461009, "id": 1009094, "match_segment_pos": "助詞--動詞", "match_segment_surf": "か--い", "query": "かい", "type": "OK"}
ここで我々は２人部屋に８人ずつ詰め込まれ、|さながら|強制収容所だった。	{"comment": "", "curid": 1842492, "id": 1018317, "match_segment_pos": "副詞", "match_segment_surf": "さながら", "query": "ながら", "type": "OK"}
ここに至ってグレンは耐熱シールドが脱落|し|かかって|いることにようやく気付いた。	{"comment": "", "curid": 1863635, "id": 1021226, "match_segment_pos": "動詞--接尾辞", "match_segment_surf": "し--かかって", "query": "しか", "type": "OK"}
ここは大陸|か|もしくは|島なのか。	{"comment": "", "curid": 22749, "id": 1022705, "match_segment_pos": "助詞--助詞", "match_segment_surf": "か--もしくは", "query": "かも", "type": "OK"}
こちらには兵舎|など|もっと|しっかりした施設があり、石積みの城壁もあった。	{"comment": "", "curid": 2109124, "id": 1023817, "match_segment_pos": "助詞--副詞", "match_segment_surf": "など--もっと", "query": "ども", "type": "OK"}
こっちはひとり|きり|だぞ。	{"comment": "", "curid": 3250000, "id": 1025605, "match_segment_pos": "助詞", "match_segment_surf": "きり", "query": "きり", "type": "OK"}
この２色はデンマークの国旗に使われる色で、これに|ならった|ものとされる。	{"comment": "", "curid": 1120272, "id": 1027873, "match_segment_pos": "動詞", "match_segment_surf": "ならった", "query": "なら", "type": "OK"}
このいずれが欠けても|いけない|し|、互いにバランスが取られていなければならない。	{"comment": "", "curid": 27724, "id": 1030405, "match_segment_pos": "形容詞--助詞", "match_segment_surf": "いけない--し", "query": "ないし", "type": "OK"}
このうち、|きりん|座といっかくじゅう座を除く６つは現在使われていない。	{"comment": "", "curid": 1330764, "id": 1030884, "match_segment_pos": "名詞", "match_segment_surf": "きりん", "query": "きり", "type": "OK"}
このことから|やらせ|疑惑が浮上した。	{"comment": "", "curid": 2013588, "id": 1033595, "match_segment_pos": "名詞", "match_segment_surf": "やらせ", "query": "やら", "type": "OK"}
このため、時の有力者は頻繁に会合を行い、構想を共有し、ひいては芸術と科学とを|二つながら|に持ち出した。	{"comment": "", "curid": 2351422, "id": 1044646, "match_segment_pos": "副詞", "match_segment_surf": "二つながら", "query": "ながら", "type": "OK"}
このため、他部族よりも素早く|しかも|強力に矢を射ることが出来、戦闘力で圧倒していた。	{"comment": "", "curid": 358160, "id": 1042234, "match_segment_pos": "接尾辞--助詞", "match_segment_surf": "し--かも", "query": "しか", "type": "NG_SEG"}
このため明治２年に役人が来て調査を行ったところ、本尊は|たしかに|存在していたことが明らかになったという。	{"comment": "", "curid": 25360, "id": 1051213, "match_segment_pos": "形容詞", "match_segment_surf": "たしかに", "query": "しか", "type": "OK"}
このとき朱異は陸抗の制止も|振りきり|、孫綝は身内であるとして捕縛の計画を疑うこともなく参内した。	{"comment": "", "curid": 154279, "id": 1058437, "match_segment_pos": "動詞", "match_segment_surf": "振りきり", "query": "きり", "type": "OK"}
このほかに来日|こそ|して|いないものの、２００６年の２４時間テレビのＣＭに出演しメッセージを送っている。	{"comment": "", "curid": 35630, "id": 1061574, "match_segment_pos": "助詞--動詞", "match_segment_surf": "こそ--して", "query": "そして", "type": "OK"}
このような生育条件はコシダの|それ|と|も|似ており、時にごく近くに生育しているのが見られる。	{"comment": "", "curid": 1855931, "id": 1067671, "match_segment_pos": "指示詞--助詞--助詞", "match_segment_surf": "それ--と--も", "query": "それとも", "type": "OK"}
このような文化的|また|地理的な区分は中世後期まで用いられたが、大航海時代にはそぐわなくなった。	{"comment": "", "curid": 32, "id": 1066183, "match_segment_pos": "助詞", "match_segment_surf": "また", "query": "また", "type": "OK"}
このように|ながらく|続いた日本の完投主義に大きな変化が生じたのは１９９０年代中期である。	{"comment": "", "curid": 552732, "id": 1071230, "match_segment_pos": "副詞", "match_segment_surf": "ながらく", "query": "ながら", "type": "OK"}
このようにして人数不明の赤子が殺害されたし、|もしかすると|数十人かもしれない。	{"comment": "", "curid": 2764045, "id": 1070987, "match_segment_pos": "副詞", "match_segment_surf": "もしかすると", "query": "しか", "type": "OK"}
このデスクトップは現実|さながら|に壁紙の変更が可能で、ＢＧＭの変更も可能である。	{"comment": "", "curid": 159558, "id": 1084100, "match_segment_pos": "副詞", "match_segment_surf": "さながら", "query": "ながら", "type": "OK"}
この関係は名家の親密な姻戚関係や精神的|並びに|倫理的自覚の団結にあった。	{"comment": "", "curid": 3024461, "id": 1239591, "match_segment_pos": "助詞", "match_segment_surf": "並びに", "query": "並びに", "type": "OK"}
